title,tag,difficulty,avg_time,link,company
Gas Station,Greedy Algorithm,medium,56 Mins,https://www.interviewbit.com/problems/gas-station,NS
Majority Element,Greedy Algorithm,easy,19 Mins,https://www.interviewbit.com/problems/majority-element,NS
Distribute Candy,Greedy Algorithm,medium,65 Mins,https://www.interviewbit.com/problems/distribute-candy,NS
Longest Increasing Subsequence,Dynamic Programming,medium,30 Mins,https://www.interviewbit.com/problems/longest-increasing-subsequence,NS
Unique Binary Search Trees,Dynamic Programming,easy,60 Mins,https://www.interviewbit.com/problems/unique-binary-search-trees,NS
Max Rectangle in Binary Matrix,Dynamic Programming,medium,78 Mins,https://www.interviewbit.com/problems/max-rectangle-in-binary-matrix,NS
Distinct Subsequences,Dynamic Programming,medium,65 Mins,https://www.interviewbit.com/problems/distinct-subsequences,NS
Unique Paths in a Grid,Dynamic Programming,medium,34 Mins,https://www.interviewbit.com/problems/unique-paths-in-a-grid,NS
Max Product Subarray,Dynamic Programming,medium,65 Mins,https://www.interviewbit.com/problems/max-product-subarray,NS
Ways to Decode,Dynamic Programming,medium,70 Mins,https://www.interviewbit.com/problems/ways-to-decode,NS
Best Time to Buy and Sell Stocks II,Dynamic Programming,easy,40 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-ii,NS
Best Time to Buy and Sell Stocks III,Dynamic Programming,hard,63 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-iii,NS
Scramble String,Dynamic Programming,hard,70 Mins,https://www.interviewbit.com/problems/scramble-string,NS
Best Time to Buy and Sell Stocks I,Dynamic Programming,easy,28 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-i,NS
Max Sum Path in Binary Tree,Dynamic Programming,medium,55 Mins,https://www.interviewbit.com/problems/max-sum-path-in-binary-tree,NS
Regular Expression Match,Dynamic Programming,hard,77 Mins,https://www.interviewbit.com/problems/regular-expression-match,NS
Dungeon Princess,Dynamic Programming,medium,70 Mins,https://www.interviewbit.com/problems/dungeon-princess,NS
Palindrome Partitioning II,Dynamic Programming,medium,62 Mins,https://www.interviewbit.com/problems/palindrome-partitioning-ii,NS
Min Sum Path in Matrix,Dynamic Programming,medium,30 Mins,https://www.interviewbit.com/problems/min-sum-path-in-matrix,NS
Min Jumps Array,Dynamic Programming,medium,71 Mins,https://www.interviewbit.com/problems/min-jumps-array,NS
Edit Distance,Dynamic Programming,medium,47 Mins,https://www.interviewbit.com/problems/edit-distance,NS
Unique Binary Search Trees II,Dynamic Programming,medium,36 Mins,https://www.interviewbit.com/problems/unique-binary-search-trees-ii,NS
Word Break,Dynamic Programming,medium,67 Mins,https://www.interviewbit.com/problems/word-break,NS
Regular Expression II,Dynamic Programming,hard,68 Mins,https://www.interviewbit.com/problems/regular-expression-ii,NS
Min Sum Path in Triangle,Dynamic Programming,medium,43 Mins,https://www.interviewbit.com/problems/min-sum-path-in-triangle,NS
Jump Game Array,Dynamic Programming,medium,41 Mins,https://www.interviewbit.com/problems/jump-game-array,NS
Interleaving Strings,Dynamic Programming,hard,61 Mins,https://www.interviewbit.com/problems/interleaving-strings,NS
Word Break II,Dynamic Programming,medium,67 Mins,https://www.interviewbit.com/problems/word-break-ii,NS
Longest valid Parentheses,Dynamic Programming,medium,61 Mins,https://www.interviewbit.com/problems/longest-valid-parentheses,NS
Stairs,Dynamic Programming,easy,15 Mins,https://www.interviewbit.com/problems/stairs,NS
