Title,Tag,Difficulty,Average Time,Link,Companies
Gas Station,Greedy Algorithm,medium,56 Mins,https://www.interviewbit.com/problems/gas-station,"Amazon, Flipkart, Google, Microsoft"
Majority Element,Greedy Algorithm,easy,19 Mins,https://www.interviewbit.com/problems/majority-element,"Amazon, Google, Microsoft, Yahoo"
Distribute Candy,Greedy Algorithm,medium,65 Mins,https://www.interviewbit.com/problems/distribute-candy,"Amazon, Flipkart, Microsoft"
Longest Increasing Subsequence,Dynamic Programming,medium,30 Mins,https://www.interviewbit.com/problems/longest-increasing-subsequence,"Amazon, Microsoft, Facebook, Yahoo"
Unique Binary Search Trees,Dynamic Programming,easy,60 Mins,https://www.interviewbit.com/problems/unique-binary-search-trees,Amazon
Max Product Subarray,Dynamic Programming,medium,65 Mins,https://www.interviewbit.com/problems/max-product-subarray,"Amazon, Microsoft, LinkedIn"
Ways to Decode,Dynamic Programming,medium,70 Mins,https://www.interviewbit.com/problems/ways-to-decode,"Amazon, Facebook"
Best Time to Buy and Sell Stocks II,Dynamic Programming,easy,40 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-ii,"Amazon, Facebook"
Best Time to Buy and Sell Stocks III,Dynamic Programming,hard,63 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-iii,"Amazon, Facebook"
Best Time to Buy and Sell Stocks I,Dynamic Programming,easy,28 Mins,https://www.interviewbit.com/problems/best-time-to-buy-and-sell-stocks-i,"Amazon, Facebook"
Max Sum Path in Binary Tree,Dynamic Programming,medium,55 Mins,https://www.interviewbit.com/problems/max-sum-path-in-binary-tree,Amazon
Palindrome Partitioning II,Dynamic Programming,medium,62 Mins,https://www.interviewbit.com/problems/palindrome-partitioning-ii,"Amazon, Google"
Min Sum Path in Matrix,Dynamic Programming,medium,30 Mins,https://www.interviewbit.com/problems/min-sum-path-in-matrix,"Amazon, Flipkart"
Min Jumps Array,Dynamic Programming,medium,71 Mins,https://www.interviewbit.com/problems/min-jumps-array,"Amazon, Google"
Edit Distance,Dynamic Programming,medium,47 Mins,https://www.interviewbit.com/problems/edit-distance,"Amazon, Flipkart, Google, Microsoft, LinkedIn"
Unique Binary Search Trees II,Dynamic Programming,medium,36 Mins,https://www.interviewbit.com/problems/unique-binary-search-trees-ii,Amazon
Jump Game Array,Dynamic Programming,medium,41 Mins,https://www.interviewbit.com/problems/jump-game-array,Amazon
Stairs,Dynamic Programming,easy,15 Mins,https://www.interviewbit.com/problems/stairs,Amazon
